,,,,,,,
,Modelo,Validacao ,,,Teste,,
,,MAE,RMSE,R²,MAE,RMSE,R²
,Random Forest,"0,0601","0,1514","0,9847","0,0795","0,2347","0,9615"
,Ridge Regression,"0,166","0,225","0,966","0,172","0,225","0,965"
,KNN,"0,0179","0,0945","0,994","0,0848","0,3753","0,9027"
,XGBoost,"0,0093","0,03515","0,9991","0,01615","0,0633","0,9972"
,Regressão Linear,"0,1919","0,2688","0,9517","0,1886","0,2557","0,9543"
,SVM(Linear Kernel),"0,110","0,240","0,9607","0,130","0,300","0,9375"
,SVM(RBF Kernel),"0,0535","0,2988","0,9403","0,0877","0,3973","0,8895"
,Decision Tree,"0,0324","0,1489","0,9852","0,042","0,1599","0,9821"
,Lasso Regression,"0,2724","0,3610","0,9130","0,2801","0,3812","0,8984"